strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Outer-Space,sativa,4.7,Uplifted,Creative,Euphoric,Energetic,Happy,Sweet,Citrus,Berry,
South-Indian-Indica,indica,3.8,None,,,,,,,,
Outlaw,sativa,4.5,Euphoric,Uplifted,Creative,Energetic,Focused,Earthy,Woody,Spicy/Herbal,
Southern-Lights,sativa,3.5,Aroused,Uplifted,Creative,Euphoric,Happy,Lemon,,,
P-51,indica,4.4,Happy,Giggly,Tingly,Uplifted,Relaxed,Earthy,Spicy/Herbal,Sweet,
Space-Bomb,hybrid,4.3,Euphoric,Relaxed,Uplifted,Happy,Creative,Earthy,Flowery,Berry,
P-91,hybrid,4.5,Euphoric,Happy,Relaxed,Creative,Energetic,Sweet,Chemical,Citrus,
Space-Candy,hybrid,4.6,Uplifted,Relaxed,Happy,Focused,Euphoric,Earthy,Sweet,Pungent,
Pacific-Blue,indica,5,Tingly,Relaxed,Sleepy,Uplifted,Creative,Flowery,Earthy,Sweet,
Space-Cream,hybrid,4.8,Relaxed,Uplifted,Euphoric,Happy,Energetic,Sweet,Citrus,Pine,
Papaya,indica,4.2,Relaxed,Sleepy,Happy,Euphoric,Hungry,Tropical,Sweet,Tree,Fruit
Paris-Og,indica,4.6,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Earthy,Lemon,Pine,
Paris-Xxx,indica,4.5,Creative,Aroused,Uplifted,Energetic,Euphoric,Sweet,Pungent,Nutty,
Patti-Cake,hybrid,0,None,,,,,None,,,
Peaches-And-Cream,hybrid,4.7,Euphoric,Relaxed,Focused,Creative,Hungry,Peach,Sweet,Vanilla,
Pearl-Scout-Cookies,hybrid,4.7,Uplifted,Happy,Giggly,Relaxed,Focused,Sweet,Citrus,Lemon,
Peles-Fire-Og,hybrid,5,Aroused,Uplifted,Energetic,Sleepy,Tingly,Diesel,Earthy,Pungent,
Pennywise,indica,4.5,Relaxed,Happy,Uplifted,Sleepy,Focused,Earthy,Woody,Sweet,
Peppermint-Cookies,hybrid,4.7,Relaxed,Euphoric,Uplifted,Focused,Creative,Sweet,Mint,Pine,
Permafrost,hybrid,4.2,Focused,Happy,Relaxed,Talkative,Euphoric,Woody,Earthy,Pine,
Pagoda,sativa,5,Uplifted,Happy,Relaxed,Talkative,Energetic,Citrus,Grapefruit,Tropical,
Pakistan-Valley-Kush,indica,5,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Pine,Sweet,Earthy,
Pakistani-Chitral-Kush,indica,4.7,Relaxed,Happy,Sleepy,Euphoric,Hungry,Earthy,Sweet,Berry,
Pamelina,indica,4.8,Euphoric,Relaxed,Happy,Sleepy,Uplifted,Chemical,Sage,Flowery,
Panama-Punch,sativa,4.9,Happy,Energetic,Uplifted,Focused,Tingly,Orange,Tropical,Berry,
Space-Dawg,indica,4.2,Relaxed,Uplifted,Euphoric,Talkative,Giggly,Sweet,Earthy,Berry,
Panama-Red,sativa,4.3,Happy,Hungry,Uplifted,Energetic,Focused,Earthy,Spicy/Herbal,Skunk,
Panda-Og,hybrid,4.4,Relaxed,Euphoric,Happy,Focused,Uplifted,Earthy,Berry,Chemical,
Pandoras-Box,sativa,4.3,Euphoric,Energetic,Uplifted,Happy,Focused,Spicy/Herbal,Citrus,Flowery,
Papas-Og,indica,4.7,Relaxed,Focused,Happy,Giggly,Sleepy,Earthy,Pungent,Sweet,
Pestilence,indica,0,None,,,,,None,,,
Petrolia-Headstash,indica,4.6,Relaxed,Euphoric,Uplifted,Happy,Aroused,Pungent,Violet,Woody,
Peyote-Cookies,indica,4.9,Happy,Euphoric,Creative,Relaxed,Hungry,Sweet,Nutty,Coffee,
Peyton-Manning,hybrid,0,None,,,,,,,,
Pez,indica,4.3,Euphoric,Sleepy,Giggly,Relaxed,Energetic,Pine,Sweet,Earthy,
Phantom-Arrow,indica,5,Happy,Relaxed,Tingly,Euphoric,Focused,Tree,Fruit,Menthol,Flowery
Phantom-Cookies,hybrid,4.6,Happy,Relaxed,Uplifted,Creative,Energetic,Berry,Grape,Mango,
Phantom-Og,indica,4.4,Relaxed,Sleepy,Euphoric,Happy,Focused,Pungent,Earthy,Sweet,
Phatt-Frutty,indica,4.5,Uplifted,Happy,Relaxed,Talkative,Creative,Lemon,Spicy/Herbal,Lime,
Neptune-Og,indica,4.4,Sleepy,Focused,Happy,Hungry,Relaxed,Pungent,Tree,Fruit,Earthy
Super-Cheese,indica,4.5,Tingly,Euphoric,Relaxed,Happy,Sleepy,Cheese,Blue,Cheese,Earthy
Space-Jill,sativa,3.7,Creative,Focused,Energetic,Uplifted,Euphoric,,,,
Pineapple-Trainwreck,hybrid,4.1,Relaxed,Euphoric,Uplifted,Happy,Giggly,Pineapple,Pine,Woody,
Pineapple-Upside-Down-Cake,hybrid,5,Euphoric,Happy,Relaxed,Tingly,Uplifted,Sweet,Pineapple,Pine,
Pink-Berry,indica,4,Sleepy,Uplifted,Aroused,Tingly,Euphoric,Sweet,Flowery,Butter,
Pink-Bubba,indica,4.4,Relaxed,Euphoric,Sleepy,Hungry,Happy,Sweet,Earthy,Pungent,
Pink-Champagne,indica,4.8,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Berry,Sweet,Rose,
Pink-Cookies,hybrid,4.5,Relaxed,Aroused,Creative,Giggly,Happy,Sweet,Earthy,Pungent,
Pink-Death-Star,indica,4.7,Relaxed,Sleepy,Euphoric,Happy,Tingly,Earthy,Spicy/Herbal,Flowery,
Pink-Hawaiian,hybrid,4.8,Uplifted,Creative,Happy,Aroused,Energetic,Sweet,Tropical,Strawberry,
Pink-Kush,hybrid,4.5,Relaxed,Happy,Sleepy,Euphoric,Hungry,Sweet,Earthy,Flowery,
Pink-Lemonade,hybrid,4.5,Happy,Uplifted,Energetic,Relaxed,Focused,Lemon,Sweet,Citrus,
Pink-Mango,hybrid,4.5,Relaxed,Happy,Euphoric,Creative,Focused,Mango,Berry,Grapefruit,
Pink-Panther,hybrid,4.4,Happy,Euphoric,Energetic,Uplifted,Relaxed,Flowery,Sweet,Pungent,
Pink-Pez,hybrid,4.1,Happy,Sleepy,Creative,Relaxed,Hungry,Citrus,Sweet,Grapefruit,
Pink-Starburst,hybrid,4.1,Euphoric,Happy,Talkative,Uplifted,Creative,Sweet,Diesel,Berry,
Pink-Sunset,indica,4.6,Relaxed,Euphoric,Tingly,Sleepy,Happy,Sweet,Berry,Vanilla,
Pinot-Green,sativa,4.2,Talkative,Euphoric,Focused,Sleepy,Uplifted,Woody,Coffee,Pine,
Pitbull,indica,4.3,Relaxed,Sleepy,Happy,Euphoric,Focused,Sweet,Earthy,Tropical,
Platinum-Bubba-Kush,indica,4.5,Euphoric,Relaxed,Happy,Sleepy,Uplifted,Earthy,Flowery,Woody,
Platinum-Calyx,hybrid,5,Euphoric,Uplifted,Creative,Hungry,Relaxed,Berry,Grape,Lavender,
Platinum-Gsc,hybrid,4.6,Relaxed,Happy,Euphoric,Uplifted,Hungry,Sweet,Earthy,Pungent,
Platinum-Huckleberry-Cookies,hybrid,4.8,Euphoric,Relaxed,Happy,Tingly,Creative,Pine,Spicy/Herbal,Minty,
Platinum-Kush,indica,4.4,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Sweet,Earthy,Pungent,
Platinum-Og,indica,4.4,Relaxed,Sleepy,Euphoric,Happy,Hungry,Earthy,Pine,Pungent,
Nevilles-Haze,sativa,4.2,Uplifted,Giggly,Euphoric,Talkative,Relaxed,Sweet,Earthy,Diesel,
Platinum-Purple-Kush,indica,4.3,Relaxed,Sleepy,Happy,Euphoric,Hungry,Chemical,Tea,Earthy,
Platinum-Sour-Diesel,hybrid,5,Giggly,Relaxed,Uplifted,Euphoric,Happy,Sweet,Lemon,Flowery,
Platinum-Wreck,hybrid,4.1,Happy,Uplifted,Euphoric,Relaxed,Creative,Earthy,Pine,Sweet,
Plushberry,indica,4.3,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Berry,Sweet,Earthy,
Nevils-Wreck,sativa,4.4,Uplifted,Creative,Euphoric,Happy,Aroused,Earthy,Sage,Pine,
Pluto-Kush,indica,3.9,Euphoric,Sleepy,Relaxed,Creative,Hungry,Blueberry,Sweet,Skunk,
Nexus-Og,indica,4.8,Relaxed,Euphoric,Happy,Aroused,Sleepy,Sweet,Berry,Earthy,
Poison-Haze,sativa,4.1,Energetic,Happy,Relaxed,Uplifted,Giggly,Citrus,Orange,Spicy/Herbal,
Nice-Cherry,indica,4.6,Happy,Talkative,Uplifted,Relaxed,Hungry,Sweet,Berry,Pungent,
Pokie,indica,3.5,Relaxed,Sleepy,Euphoric,Happy,Focused,Butter,Citrus,Cheese,
Nicole-Kush,indica,4.9,Relaxed,Euphoric,Uplifted,Happy,Tingly,Pungent,Sweet,Woody,
Poochie-Love,sativa,4,Euphoric,Focused,Creative,Happy,Energetic,Earthy,Pungent,Skunk,
Night-Nurse,indica,4.6,Relaxed,Sleepy,Happy,Hungry,Euphoric,Sweet,Earthy,Diesel,
Pop-Rox,hybrid,4.3,Euphoric,Creative,Uplifted,Happy,Aroused,Sweet,Grape,Citrus,
Night-Terror-Og,indica,4.6,Relaxed,Sleepy,Happy,Tingly,Euphoric,Earthy,Berry,Grape,
Popcorn-Kush,indica,4.2,Relaxed,Sleepy,Happy,Hungry,Giggly,Butter,Sweet,Earthy,
Night-Train,indica,3.9,Relaxed,Sleepy,Tingly,Euphoric,Uplifted,Pepper,Pungent,Chemical,
Nightfire-Og,sativa,4.3,Euphoric,Uplifted,Tingly,Talkative,Energetic,Citrus,Pine,Earthy,
Nightmare-Cookies,hybrid,4.7,Relaxed,Euphoric,Happy,Creative,Uplifted,Sweet,Pine,Woody,
Nina-Limone,sativa,5,Euphoric,Happy,Energetic,Talkative,Uplifted,Lemon,Sweet,Citrus,
Phishhead-Kush,indica,5,Giggly,Happy,Talkative,Tingly,Uplifted,Sweet,Berry,,
Pia-Collision,sativa,0,None,,,,,None,,,
Pie-Face-Og,hybrid,4.5,Relaxed,Euphoric,Giggly,Happy,Tingly,Earthy,Sweet,Tropical,
Pine-Cone,hybrid,4.5,Creative,Uplifted,Energetic,Euphoric,Focused,Pine,Earthy,Woody,
Pine-Queen-Dream,hybrid,4.7,Aroused,Uplifted,Euphoric,Focused,Happy,Earthy,Woody,Pine,
Pine-Tar-Kush,indica,4.5,Relaxed,Happy,Uplifted,Euphoric,Hungry,Pine,Woody,Earthy,
Pot-Of-Gold,indica,4.2,Relaxed,Happy,Creative,Focused,Sleepy,Skunk,Sweet,Earthy,
Power-Kush,indica,4,Relaxed,Uplifted,Euphoric,Sleepy,Creative,Tropical,Earthy,Sweet,
Power-Plant,sativa,4.2,Happy,Uplifted,Euphoric,Energetic,Talkative,Earthy,Pungent,Woody,
Pineapple,hybrid,4.2,Happy,Uplifted,Euphoric,Relaxed,Energetic,Pineapple,Tropical,Sweet,
Pineapple-Calyx,hybrid,0,None,,,,,None,,,
Pineapple-Chunk,hybrid,4.5,Relaxed,Happy,Hungry,Euphoric,Uplifted,Pineapple,Tropical,Skunk,
Pineapple-Cookies,hybrid,4,Talkative,Energetic,Euphoric,Happy,Uplifted,Pineapple,Sweet,Flowery,
Pineapple-Diesel,hybrid,4.4,Uplifted,Talkative,Happy,Euphoric,Giggly,Diesel,Pungent,Pineapple,
Pineapple-Dog-Shit,hybrid,4.2,Uplifted,Euphoric,Energetic,Focused,Happy,Pineapple,Sweet,Earthy,
Pineapple-Express,hybrid,4.4,Happy,Uplifted,Euphoric,Energetic,Relaxed,Pineapple,Sweet,Tropical,
Pineapple-Fields,sativa,4.3,Creative,Uplifted,Happy,Relaxed,Euphoric,Sweet,Pineapple,Tropical,
Pre-98-Bubba-Kush,indica,4.4,Relaxed,Happy,Euphoric,Sleepy,Hungry,Earthy,Woody,Pungent,
Pineapple-Haze,sativa,4.2,Relaxed,Euphoric,Happy,Uplifted,Energetic,Pineapple,Citrus,Tropical,
Predator-Pink,hybrid,4.7,Relaxed,Happy,Euphoric,Tingly,Uplifted,Earthy,Sweet,Tropical,
Pineapple-Jack,sativa,4.4,Happy,Euphoric,Talkative,Tingly,Giggly,Pineapple,Sweet,Tropical,
Space-Monster,indica,4.3,Relaxed,Tingly,Sleepy,Uplifted,Creative,Ammonia,Diesel,Spicy/Herbal,
Space-Needle,sativa,3.7,Uplifted,Euphoric,Happy,Hungry,Relaxed,Pungent,Pine,Flowery,
Space-Queen,hybrid,4.4,Euphoric,Uplifted,Relaxed,Happy,Focused,Earthy,Sweet,Flowery,
Special-K,hybrid,4.5,Happy,Uplifted,Euphoric,Relaxed,Creative,Sweet,Citrus,Earthy,
Special-Kush-1,indica,4.6,Relaxed,Euphoric,Hungry,Sleepy,Uplifted,Earthy,Sweet,Pungent,
Spirit-Of-76,hybrid,4.6,Relaxed,Uplifted,Happy,Talkative,Euphoric,Pine,Woody,Flowery,
Spliffs-Strawberry,sativa,4.6,Talkative,Creative,Energetic,Euphoric,Focused,Sweet,Berry,Strawberry,
Spoetnik-1,indica,5,Focused,Sleepy,Creative,Energetic,Euphoric,Flowery,Lavender,Rose,
Sputnik,sativa,4.5,Happy,Relaxed,Energetic,Tingly,Euphoric,Sweet,Flowery,Tea,
Spyder-Mon,hybrid,5,Uplifted,Creative,Focused,Happy,Relaxed,Citrus,Earthy,Sweet,
Star-47,hybrid,4.3,Happy,Euphoric,Sleepy,Giggly,Relaxed,Earthy,Spicy/Herbal,Berry,
Star-Berry,indica,4.6,Relaxed,Uplifted,Happy,Euphoric,Energetic,Berry,Citrus,Sweet,
Star-Killer,indica,4.5,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Lemon,Pungent,
Stevie-Wonder,hybrid,4.6,Happy,Hungry,Uplifted,Focused,Tingly,Earthy,Pine,Orange,
Straight-As-Haze,sativa,5,Energetic,Euphoric,Happy,Talkative,Giggly,Sweet,Citrus,Spicy/Herbal,
Strawberry,sativa,4.4,Happy,Relaxed,Uplifted,Euphoric,Talkative,Strawberry,Sweet,Flowery,
Strawberry-Alien-Kush,hybrid,4,Relaxed,,,,,Strawberry,,,
Strawberry-Amnesia,sativa,4.5,Creative,Relaxed,Uplifted,Euphoric,Energetic,Strawberry,Sweet,Earthy,
Strawberry-Banana,hybrid,4.5,Relaxed,Euphoric,Happy,Uplifted,Creative,Strawberry,Sweet,Berry,
Strawberry-Blondie,hybrid,4.9,Euphoric,Happy,Uplifted,Relaxed,Creative,Strawberry,Sweet,Earthy,
Pineapple-Kush,hybrid,4.2,Happy,Uplifted,Euphoric,Giggly,Relaxed,Pineapple,Sweet,Tropical,
Strawberry-Blue,sativa,4.2,Relaxed,Happy,Uplifted,Energetic,Euphoric,Strawberry,Sweet,Berry,
Strawberry-Cheesecake,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Giggly,Strawberry,Sweet,Cheese,
Strawberry-Cough,sativa,4.3,Happy,Uplifted,Euphoric,Energetic,Relaxed,Strawberry,Sweet,Berry,
Pineapple-Og,sativa,4.6,Happy,Uplifted,Focused,Creative,Energetic,Pineapple,Citrus,Tropical,
Presidential-Og,indica,4.5,Relaxed,Sleepy,Happy,Giggly,Tingly,Earthy,Citrus,Woody,
Primus,indica,4.7,Relaxed,Happy,Euphoric,Hungry,Uplifted,Earthy,Skunk,Pungent,
Princesss-Tiara,hybrid,4.7,Talkative,Energetic,Happy,Uplifted,Giggly,Sweet,Earthy,,
Professor-Chaos,hybrid,4.6,Uplifted,Happy,Energetic,Relaxed,Euphoric,Citrus,Pine,Earthy,
Project-Blue-Book,hybrid,4.6,Happy,Uplifted,Creative,Focused,Talkative,Sweet,Earthy,Flowery,
Proper-Pho-Shatter-H,hybrid,0,None,,,,,None,,,
Proper-Pho-Shatter-I,indica,0,None,,,,,None,,,
Proper-Pho-Shatter-S,sativa,0,None,,,,,None,,,
Puna-Buddaz,indica,5,Uplifted,Happy,Sleepy,Talkative,Creative,Tropical,Sweet,Pungent,
Puna-Budder,hybrid,4.8,Uplifted,Giggly,Happy,Relaxed,Talkative,Sweet,Pine,Skunk,
Pineapple-Punch,sativa,4.5,Creative,Aroused,Happy,Euphoric,Uplifted,Tropical,Pineapple,Sweet,
Punky-Lion,indica,4.5,Relaxed,Euphoric,Tingly,Happy,Sleepy,Earthy,Sweet,Flowery,
Pure-Afghan,indica,4.7,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Woody,Flowery,
Pure-Kush,indica,4.4,Relaxed,Happy,Sleepy,Euphoric,Hungry,Earthy,Pungent,Skunk,
Pineapple-Purple-Skunk,hybrid,4.5,Relaxed,Happy,Uplifted,Euphoric,Aroused,Sweet,Citrus,Pineapple,
Pure-Love,indica,4.8,Relaxed,Sleepy,Happy,Focused,Euphoric,Mango,Sweet,Berry,
Pure-Og,indica,4.1,Happy,Tingly,Uplifted,Creative,Relaxed,Earthy,Pine,Flowery,
Pure-Power-Plant,hybrid,4.4,Energetic,Happy,Relaxed,Creative,Uplifted,Citrus,Earthy,Pine,
Pineapple-Purps,sativa,4.4,Creative,Uplifted,Relaxed,Euphoric,Energetic,Earthy,Pineapple,Berry,
Pineapple-Sage,sativa,5,Uplifted,Creative,Energetic,Euphoric,Focused,Sage,Sweet,Lemon,
Pineapple-Skunk,hybrid,4.4,Uplifted,Happy,Relaxed,Euphoric,Talkative,Pineapple,Skunk,Sweet,
Strawberry-Diesel,hybrid,4.3,Happy,Relaxed,Uplifted,Euphoric,Creative,Diesel,Strawberry,Sweet,
Pineapple-Super-Silver-Haze,sativa,4.7,Happy,Euphoric,Energetic,Focused,Tingly,Pineapple,Sweet,Earthy,
Strawberry-Dream,hybrid,4.4,Uplifted,Euphoric,Happy,Energetic,Creative,Strawberry,Sweet,Berry,
Strawberry-Durban-Diesel,sativa,4.4,Uplifted,Creative,Focused,Talkative,Aroused,Strawberry,Earthy,Diesel,
Strawberry-Fields,indica,4.6,Relaxed,Happy,Uplifted,Hungry,Euphoric,Strawberry,Sweet,Berry,
Pineapple-Thai,sativa,4,Relaxed,Creative,Sleepy,Happy,Focused,Pineapple,Citrus,Sweet,
Purple-Afghani,indica,4.2,Relaxed,Uplifted,Sleepy,Happy,Euphoric,Earthy,Sweet,Berry,
Purple-Ak-47,hybrid,4.3,Relaxed,Euphoric,Focused,Aroused,Sleepy,Sweet,Pine,Flowery,
Purple-Alien-Og,hybrid,4.7,Relaxed,Happy,Uplifted,Sleepy,Focused,Earthy,Spicy/Herbal,Grape,
Purple-Animal-Cookies,hybrid,0,Euphoric,Giggly,Happy,Relaxed,,Grape,,,
Purple-Arrow,hybrid,4.2,Happy,Uplifted,Focused,Energetic,Relaxed,Sweet,Citrus,Earthy,
Purple-Aurora,hybrid,5,Focused,Relaxed,,,,Berry,Blueberry,Grape,
Purple-Berry,indica,4.4,Relaxed,Happy,Euphoric,Creative,Sleepy,Berry,Sweet,Blueberry,
Purple-Bubba,indica,4.4,Relaxed,Euphoric,Uplifted,Sleepy,Happy,Berry,Grape,Earthy,
Purple-Bud,indica,4.2,Relaxed,Happy,Sleepy,Euphoric,Creative,Lavender,Sweet,Pine,
Purple-Buddha,indica,4.4,Euphoric,Relaxed,Happy,Focused,Sleepy,Lavender,Berry,Sweet,
Purple-Bush,indica,4.8,Relaxed,Creative,Focused,Euphoric,Sleepy,Sweet,Berry,Grape,
Purple-Candy,indica,4.4,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Grape,Earthy,Sweet,
Purple-Champagne,sativa,4.4,Uplifted,Focused,Euphoric,Happy,Creative,Sweet,Grape,Earthy,
Purple-Cheddar,indica,4.5,Euphoric,Happy,Relaxed,Sleepy,Hungry,Cheese,Sweet,Grape,
Purple-Cheese,hybrid,4.3,Happy,Relaxed,Uplifted,Sleepy,Euphoric,Cheese,Grape,Earthy,
Purple-Chemdawg,indica,4.5,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Grape,Chemical,Earthy,
Purple-Cotton-Candy,indica,4.6,Relaxed,Happy,Talkative,Uplifted,Aroused,Sweet,Earthy,Berry,
Purple-Cow,sativa,4.5,Focused,Relaxed,Uplifted,Euphoric,,Flowery,Sweet,Berry,
Strawberry-Frost,indica,5,Happy,Aroused,Relaxed,Giggly,Hungry,Sweet,Strawberry,Earthy,
Strawberry-Ice,sativa,4.8,Focused,Energetic,Euphoric,Happy,Creative,Strawberry,Sweet,Berry,
Strawberry-Kush,hybrid,4.2,Relaxed,Happy,Sleepy,Uplifted,Euphoric,Strawberry,Sweet,Pungent,
Star-Master-Kush,indica,4.7,Relaxed,Uplifted,Focused,Happy,Sleepy,Skunk,Pine,Earthy,
Star-Tonic,hybrid,4.7,Relaxed,Focused,Uplifted,Happy,Euphoric,Citrus,Sweet,Lemon,
Starbud,indica,4.6,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Grape,Pine,Menthol,
Stardawg,hybrid,4.5,Happy,Relaxed,Uplifted,Euphoric,Talkative,Diesel,Pungent,Earthy,
Stardawg-91,indica,5,Sleepy,Euphoric,Happy,Relaxed,,Diesel,Pepper,Earthy,
Stardawg-Guava,sativa,4.6,Relaxed,Happy,Uplifted,Energetic,Creative,Tropical,Sweet,Pungent,
Starfighter,hybrid,4.1,Euphoric,Relaxed,Happy,Uplifted,Creative,Pine,Pungent,Woody,
Starry-Night,hybrid,4.6,Euphoric,Happy,Focused,Tingly,Energetic,Berry,Earthy,Pungent,
Stella-Blue,sativa,4.6,Energetic,Happy,Uplifted,Focused,Talkative,Sweet,Flowery,Berry,
Stephen-Hawking-Kush,indica,4.6,Relaxed,Happy,Euphoric,Focused,Tingly,Earthy,Woody,Berry,
Sugar-Mama,indica,4.8,Euphoric,Relaxed,Happy,Focused,Uplifted,Sweet,Tropical,Blueberry,
Sugar-Pine,hybrid,0,None,,,,,None,,,
Sugar-Plum,sativa,4.5,Euphoric,Happy,Relaxed,Uplifted,Creative,Sweet,Plum,Tropical,
Sugar-Punch,hybrid,4.8,Hungry,Happy,Giggly,Aroused,Uplifted,Skunk,Sweet,Woody,
Sugar-Shack,hybrid,4.6,Relaxed,Happy,Uplifted,Energetic,Talkative,Earthy,Pine,Sweet,
Super-Chronic,indica,4.8,Happy,Relaxed,Sleepy,Euphoric,Focused,Earthy,Pine,Minty,
Suicide-Girl,hybrid,4.8,Talkative,Euphoric,Uplifted,Relaxed,Tingly,Violet,Sweet,Citrus,
Summertime-Squeeze,sativa,4.9,Creative,Happy,Talkative,Giggly,Aroused,Tea,Earthy,Spicy/Herbal,
Sumo-Grande,sativa,4.5,Focused,Hungry,Creative,Talkative,Uplifted,Citrus,Sweet,Pine,
Sumo-Og-Kush,indica,4.3,Hungry,Relaxed,Talkative,Uplifted,Focused,Earthy,Pine,Diesel,
Super-G,sativa,4.5,Creative,Tingly,Uplifted,Energetic,Happy,Earthy,Pungent,Pine,
Super-Green-Crack,sativa,4.5,Happy,Giggly,Energetic,Focused,Euphoric,Earthy,Flowery,Pungent,
Purple-Crack,hybrid,4.3,Happy,Relaxed,Euphoric,Uplifted,Energetic,Earthy,Sweet,Pungent,
Purple-Cream,indica,4.3,Happy,Relaxed,Sleepy,Hungry,Giggly,Sweet,Pine,Earthy,
Purple-Diesel,hybrid,4.2,Relaxed,Uplifted,Happy,Energetic,Focused,Sweet,Berry,Diesel,
Purple-Dog-Shit,hybrid,4.8,Euphoric,Relaxed,Happy,Creative,Uplifted,Earthy,Berry,Grape,
Sun-Ra,sativa,4.7,Happy,Uplifted,Euphoric,Focused,Tingly,Citrus,Sweet,Earthy,
Sunburn,sativa,4.6,Creative,Euphoric,Uplifted,Happy,Energetic,Citrus,Earthy,Sweet,
Sunlight-Skunk,hybrid,0,None,,,,,None,,,
Sunset-Haze,hybrid,4.2,Relaxed,Creative,Aroused,Sleepy,Uplifted,Sweet,Citrus,Flowery,
Strawberry-Lemonade,sativa,4.3,Happy,Relaxed,Euphoric,Uplifted,Energetic,Strawberry,Lemon,Berry,
Strawberry-Mango-Haze,sativa,4.6,Happy,Euphoric,Uplifted,Focused,Energetic,Strawberry,Sweet,Mango,
Strawberry-Milkshake,hybrid,4.4,Happy,Relaxed,Uplifted,Tingly,Euphoric,Sweet,Strawberry,Berry,
Strawberry-Og,hybrid,4.2,Happy,Relaxed,Euphoric,Hungry,Creative,Strawberry,Diesel,Spicy/Herbal,
Strawberry-Satori,sativa,4.5,Uplifted,Creative,Relaxed,Happy,Energetic,Strawberry,Berry,Pungent,
Sublime,sativa,4.2,Uplifted,Happy,Focused,Euphoric,Talkative,Flowery,Pine,Earthy,
Sugar-Black-Rose,indica,4.5,Relaxed,Euphoric,Happy,Sleepy,Uplifted,Rose,Sweet,Flowery,
Sugar-Calyx,hybrid,0,None,,,,,None,,,
Sugar-Cookie,hybrid,4.3,Relaxed,Happy,Sleepy,Euphoric,Giggly,Sweet,Earthy,Tar,
Sugar-Kush,indica,4.1,Relaxed,Hungry,Sleepy,Happy,Euphoric,Sweet,Woody,Pine,
Sunset-Sherbert,hybrid,4.6,Relaxed,Happy,Euphoric,Uplifted,Creative,Sweet,Citrus,Earthy,
Sunshine,sativa,4.7,Happy,Uplifted,Energetic,Creative,Focused,Citrus,Sweet,Tea,
Purple-Dragon,indica,4.3,Relaxed,Uplifted,Giggly,Euphoric,Happy,Grape,Sweet,Earthy,
Purple-Dream,hybrid,4.4,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Grape,Earthy,Tobacco,
Sunshine-4,hybrid,4.8,Happy,Uplifted,Euphoric,Relaxed,Talkative,Spicy/Herbal,Citrus,Sweet,
Purple-Elephant,indica,4.2,Relaxed,Sleepy,Giggly,Happy,Euphoric,Grape,Earthy,Woody,
Sunshine-Daydream,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Tingly,Pungent,Diesel,Flowery,
Purple-Frost,hybrid,0,None,,,,,None,,,
Supa-Don,sativa,4.5,Uplifted,Creative,Energetic,Focused,Happy,Spicy/Herbal,Sweet,Apricot,
Purple-Goat,hybrid,3.5,Uplifted,Happy,Talkative,Creative,Energetic,Sweet,Berry,Earthy,
Purple-Hindu-Kush,indica,4.6,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Berry,Earthy,Sweet,
Purple-Ice,hybrid,4.4,Happy,Relaxed,Euphoric,Uplifted,Creative,Flowery,Earthy,Lavender,
Purple-Jack,hybrid,4.3,Uplifted,Euphoric,Focused,Relaxed,Creative,Sweet,Citrus,Pine,
Purple-Jolly-Rancher,indica,4.4,Focused,Relaxed,Euphoric,Happy,Uplifted,Grape,Flowery,Tropical,
Purple-Kush,indica,4.3,Relaxed,Sleepy,Happy,Euphoric,Hungry,Earthy,Sweet,Grape,
Purple-Linda,indica,5,Relaxed,,,,,None,,,
Purple-Martian-Kush,indica,4.5,Relaxed,Happy,Tingly,Euphoric,Uplifted,Sweet,Grape,Berry,
Purple-Maui,hybrid,4.1,Happy,Energetic,Uplifted,Relaxed,Focused,Grape,Pine,Earthy,
Purple-Monkey-Balls,indica,4.6,Happy,Relaxed,Euphoric,Sleepy,Giggly,Grape,Earthy,Sweet,
Yoda-Og,indica,4.5,Relaxed,Uplifted,Sleepy,Happy,Euphoric,Earthy,Skunk,Woody,
Super-Lemon-Haze,sativa,4.4,Happy,Uplifted,Energetic,Euphoric,Focused,Lemon,Citrus,Sweet,
Yodas-Brain,indica,4.8,Sleepy,Happy,Aroused,Relaxed,Hungry,Pine,Sage,Flowery,
Yogi-Diesel,hybrid,4.5,Uplifted,Euphoric,Tingly,Creative,Happy,Diesel,Citrus,Pine,
Yumboldt,indica,4.2,Relaxed,Happy,Sleepy,Euphoric,Hungry,Spicy/Herbal,Earthy,Sweet,
Yummy,hybrid,4.2,Uplifted,Relaxed,Happy,Energetic,Euphoric,Sweet,Earthy,Pungent,
